Pharmacy,Populations,Disability,Insurance,Poverty,Work
CVS - 5341,"[['37179021013', '37179021014', '37179021015', '37179021013']]",[0.08677308512026445],[0.9365838806489496],[0.0713379141319095],[0.8118958109559613]
WAL-MART SUPERCENTER - 5320,[['37081012612']],[0.16122250970245797],[0.8753234152652005],[0.2802393272962484],[0.7273439540349961]
GLOBAL RX,"[['37135011103', '37135011107', '37135011211', '37135011107']]",[0.11228300032754668],[0.903963314772355],[0.08885245901639344],[0.772565445026178]
TAS DRUG,"[['37045950301', '37071030602', '37109070500', '37071030700']]",[0.1576957580417788],[0.89920543380751],[0.14120741643677423],[0.7030155345720378]
RITE AID - 11345,"[['37057060601', '37057060700', '37081014408']]",[0.1304054054054054],[0.8129129129129129],[0.15663196016296968],[0.7321469840536168]
LINCOLN COMMUNITY HEALTH CENTER,"[['37063000700', '37063001001', '37063001301', '37063001400', '37063002300', '37063001301']]",[0.15893618375007953],[0.7956352993573838],[0.2433467355925713],[0.7243886318572372]
EAST CAROLINA UNIVERSTIY BRODY SCHOOL OF MEDICINE - BRODY OUTPATIENT PHARMACY,[['37147000701']],[0.15867158671586715],[0.9166666666666666],[0.43067937288656627],[0.7310282891782667]
NORTHWOODS DRUG COMPANY INCORPORATED,"[['37133001400', '37133001500', '37133001700', '37133001700']]",[0.21097572675813106],[0.8856375323803127],[0.1679816513761468],[0.7792869269949066]
HARRIS TEETER - 274,"[['37097061203', '37097061204', '37097061402']]",[0.07217548076923076],[0.9393028846153846],[0.04447115384615385],[0.8212838750337625]
CVS - 5583,"[['37119000700', '37119000900', '37119001400', '37119001400']]",[0.06708634783425726],[0.8714648125528517],[0.07851977082746313],[0.8625259276330952]
INGLES MARKETS - 147,"[['37045950302', '37045950601', '37045950604', '37045950601']]",[0.16526251185627405],[0.8722312112927524],[0.17624349577575113],[0.7036911615306468]
WAL-MART SUPERCENTER - 1385,[['37071031303']],[0.19258496395468588],[0.8089598352214212],[0.35204616998950683],[0.7874276261373035]
WALGREENS - 6690,[['37067002701']],[0.10038824181919023],[0.8519134775374376],[0.10967831392124237],[0.735889872173058]
WAL-MART SUPERCENTER - 2472,"[['37067003805', '37067003805']]",[0.13403012603750383],[0.8837995696280356],[0.1675840978593272],[0.7730853391684902]
WAL-MART SUPERCENTER - 1132,"[['37151030804', '37151030806', '37151030201']]",[0.1687098657326328],[0.8920023350846468],[0.14967892586106246],[0.750682261208577]
WALGREENS - 11692,[['37179020602']],[0.11983181499649614],[0.7783228217706143],[0.23067943030586038],[0.7621681415929203]
WALGREENS - 9931,[['37129011612']],[0.05668430937339935],[0.9079733652040294],[0.06966023561550282],[0.7980747705395119]
RITE AID - 11417,"[['37147000201', '37147000303']]",[0.07572412001558644],[0.8808936225483829],[0.4653503677893922],[0.8116501854140915]
BEACH PHARMACY,"[['37055970502', '37055990200', '37095990100', '37095990200', '37055970502']]",[0.15511265164644714],[0.8341998844598498],[0.10908052541404911],[0.8421052631578947]
VILLAGE PHARMACY,"[['37117970400', '37117970600', '37117970600']]",[0.2474077377634073],[0.8570632177500279],[0.19007250418293364],[0.6443326746901383]
RITE AID - 11448,"[['37025041001', '37025041002', '37025041201', '37159051502', '37159051801', '37025041002']]",[0.1561464850938535],[0.8830051527419949],[0.19379345273723467],[0.7374775422206252]
CVS - 5591,"[['37097061001', '37097060100']]",[0.11876958131586443],[0.9226241336751163],[0.18099032441661925],[0.7676101640398842]
RITE AID - 11459,"[['37071031004', '37071031102', '37071031204', '37071031102']]",[0.1659021406727829],[0.8555045871559633],[0.15388816076889472],[0.8404544727156344]
BRAME HUIE PHARMACY,[['37193960700']],[0.17062838314897624],[0.8350200047069899],[0.23523763802208353],[0.7465001891789633]
RITE AID - 11439,"[['37071030302', '37071030902', '37071030902']]",[0.15483603154836031],[0.8949771689497716],[0.09846461949265688],[0.7013731502466338]
SENIOR CARE PHARMACY,"[['37119005713', '37119005721', '37119005720']]",[0.08478366553232863],[0.9515799708313077],[0.06726936910663944],[0.8369240446611103]
CAROLINAS MEDICAL CENTER - BIDDLE POINT PHARMACY,"[['37119004102', '37119004500', '37119004700', '37119004700']]",[0.06889931740614334],[0.8834257679180887],[0.2186532507739938],[0.7879518072289157]
SALISBURY PHARMACY / MEDEXPRESS PHARMACY,"[['37159050400', '37159050400']]",[0.14490818030050084],[0.8774624373956594],[0.39744175422567385],[0.7115384615384616]
COOR'S PHARMACY AND MEDICAL SUPPLY,[['37191001900']],[0.1329394387001477],[0.9153126538650911],[0.3249630723781389],[0.7287384119306731]
CVS - 7013,"[['37021002803', '37021002702']]",[0.15955101222689919],[0.8712166766887152],[0.14075949367088608],[0.785079365079365]
HARRIS TEETER - 272,"[['37119006210', '37119006220', '37119006221', '37119006209']]",[0.058863204365687656],[0.9434667974737875],[0.03743282475755142],[0.8568823190631599]
CVS - 7597,"[['37085070600', '37085070700', '37085070801', '37085070802', '37085070700']]",[0.1652137034070025],[0.9091937231987183],[0.15552757491815664],[0.6853312770626965]
CVS - 5568,"[['37041930102', '37041930201', '37041930202', '37041930101']]",[0.1687776141384389],[0.9244477172312224],[0.21963824289405684],[0.7009575569358178]
CVS - 5463,"[['37119005615', '37119005618', '37119005615']]",[0.06572651725006295],[0.8910853689247041],[0.039421979972113066],[0.8088128186453023]
RITE AID - 11336,[['37081016506']],[0.10089598753408648],[0.9542267238021036],[0.06370168964847543],[0.8239517518667433]
HAYESVILLE PHARMACY,"[['37043950201', '37043950201']]",[0.18859794497845542],[0.7882001988730527],[0.18130593304607226],[0.6416666666666667]
CVS - 7056,"[['37119004600', '37119004800', '37119005000', '37119004600']]",[0.1160884483415936],[0.8411170415554708],[0.19816985987989705],[0.7055385065029958]
GOLDSBORO DRUG COMPANY,"[['37191001500', '37191001800', '37191002000', '37191001800']]",[0.1946010797840432],[0.8722255548890222],[0.44858134801867594],[0.6173824130879345]
MEDICAL CENTER PHARMACY,"[['37035010900', '37035010900']]",[0.18611793611793612],[0.847051597051597],[0.4358108108108108],[0.6350164654226125]
WALGREENS - 11713,"[['37101041112', '37101041113', '37183052902', '37101041112']]",[0.08834942267650955],[0.8973594548551959],[0.029339390497823206],[0.8032905704138581]
FAMILY MEDICAL SUPPLY,[['37085070500']],[0.1646897025958398],[0.8672855423757951],[0.14095928226363008],[0.7212925562608193]
SHELBY DRUGSTORE,"[['37045950800', '37045950900']]",[0.18985695708712613],[0.914029764484901],[0.1925851125216388],[0.6742924528301887]
STANELY APOTHECARY,"[['37119001801', '37119001801']]",[0.0729483282674772],[0.8533434650455927],[0.19832826747720364],[0.8599624060150376]
LEXINGTON DRUG COMPANY,[['37057061400']],[0.16143941895014857],[0.7200396170353252],[0.5061076262793001],[0.44046591889559966]
WALGREENS - 7699,[['37025042402']],[0.10657306955966815],[0.8578493937460114],[0.13002552648372687],[0.7831984769157544]
INGLES MARKETS - 3,"[['37021001602', '37021001700', '37021001601']]",[0.09386112670784204],[0.9293468089088527],[0.08759124087591241],[0.7938895045116353]
RITE AID - 11368,[['37183053425']],[0.05928085519922255],[0.9919015225137674],[0.011135857461024499],[0.8226299694189603]
SAMS PHARMACY,"[['37061090801', '37061090803', '37061090804', '37061090804']]",[0.15089136215896778],[0.8153255195508716],[0.2479574761295403],[0.734963980566259]
CVS - 7043,"[['37061090102', '37061090401', '37061090402', '37061090401']]",[0.1928676111382511],[0.8141670737664876],[0.20898876404494382],[0.7229551451187335]
WALGREENS - 10891,[['37045951000']],[0.16214720531267293],[0.9061981184283343],[0.14822190611664296],[0.7353079454630935]
CVS - 3440,"[['37179021016', '37179021016']]",[0.02782392026578073],[0.982765780730897],[0.007267441860465116],[0.8255170404893679]
WALGREENS - 5761,"[['37119003201', '37119003203', '37119003110']]",[0.057180851063829786],[0.9097074468085107],[0.10568242166755178],[0.9283025325119781]
RITE AID - 11349,"[['37081012619', '37081012619']]",[0.15323025952512423],[0.9243511871893981],[0.1],[0.825050505050505]
FARM FRESH - 6273,[['37139960300']],[0.24727272727272728],[0.9334545454545454],[0.5515239477503628],[0.5897269180754227]
WALGREENS - 9090,[['37001021000']],[0.12276975361087511],[0.7892948173322005],[0.42778249787595585],[0.7095871238628412]
CVS - 7529,"[['37183054108', '37183054112', '37183054112']]",[0.10633526443655392],[0.8726717747461533],[0.1128201908588649],[0.780260530569554]
FAYETTEVILLE TREATMENT CENTER,"[['37051000200', '37051001401', '37051001402', '37051003800']]",[0.2554736729680658],[0.8631848766421019],[0.3434695385914898],[0.6269694161260426]
CABARRUS HEALTH ALLIANCE,"[['37025042101', '37025042202', '37025042101']]",[0.08704735376044569],[0.7937848189415042],[0.08470042796005706],[0.8194249201277956]
COOPERS PHARMACY INCORPORATED,"[['37125950503', '37125950504', '37125950507', '37125950507']]",[0.12242295430393199],[0.8475380800566773],[0.10376721577099648],[0.8004403754780391]
CVS - 7349,"[['37025042402', '37025042402']]",[0.10657306955966815],[0.8578493937460114],[0.13002552648372687],[0.7831984769157544]
CAROLINA DRUG,"[['37151031303', '37151031504', '37151031505', '37151031504']]",[0.13503518413888746],[0.9188453438800144],[0.060660537264369],[0.8019668824073296]
RITE AID - 11471,"[['37119002701', '37119002800', '37119002701']]",[0.053458477861660886],[0.9809222607631096],[0.016391752577319587],[0.7849513038014452]
AVERY PHARMACY,"[['37011930200', '37011930200']]",[0.17240089753178758],[0.8178758414360509],[0.07217651458489155],[0.7585596221959858]
CORAM SPECIALTY INFUSION SERVICES,"[['37183053612', '37183053609']]",[0.06935483870967742],[0.9610599078341013],[0.06492314751089699],[0.8095238095238095]
CVS - 7550,"[['37133000401', '37133000405']]",[0.10914255812214996],[0.8895118486955221],[0.07108636540204584],[0.8122736418511066]
CVS - 4197,"[['37089930502', '37089930600', '37089930600']]",[0.1507607192254495],[0.9205960015088646],[0.08438765182186235],[0.8405084926824057]
RITE AID - 11367,"[['37135011500', '37135012103']]",[0.07030067056024226],[0.9684187756867835],[0.12305025996533796],[0.8902116402116402]
RITE AID - 11388,"[['37183050300', '37183051102', '37183051200', '37183051200']]",[0.053576827719658944],[0.9538610388825058],[0.18306789606035206],[0.6312962599069889]
CVS - 5508,[['37017950401']],[0.17664943751900275],[0.8543630282760718],[0.40285801155366374],[0.6435692921236291]
WALGREENS - 11892,"[['37097061401', '37097061405', '37097061406', '37097061405']]",[0.06269972451790634],[0.9653994490358127],[0.02387531778490107],[0.7780783663495942]
WAL-MART - 1498,[['37081015705']],[0.0890302066772655],[0.8906995230524642],[0.08426073131955485],[0.8017012227538544]
KM HEALTH MART PHARMACY,"[['37045950400', '37045950400']]",[0.16714509394572025],[0.8911795407098121],[0.18306367432150314],[0.7694425326909842]
RITE AID - 11476,"[['37119002202', '37119002202']]",[0.0751188589540412],[0.9670364500792393],[0.05388272583201268],[0.8216704288939052]
WALGREENS - 11629,"[['37035010301', '37035010302', '37035010303', '37035010304', '37035010304']]",[0.12025678770035983],[0.876594700686948],[0.17473821989528796],[0.7527641277641277]
FAMILYMED PHARMACY,"[['37035011601', '37035011702', '37109070901', '37035011601']]",[0.1335213218561393],[0.8693479766498466],[0.10260635110844818],[0.761756876663709]
WAL-MART SUPERCENTER - 1236,"[['37191001302', '37191001302']]",[0.16189697465249386],[0.928045789043336],[0.11433046202036022],[0.7832888210606639]
RITE AID - 11514,"[['37191000603', '37191000700']]",[0.11102403343782655],[0.799373040752351],[0.23658854166666668],[0.822289156626506]
MARKET STREET PHARMACY,"[['37129010100', '37129010200', '37129011200', '37129010200']]",[0.16444728201386355],[0.8237869390733309],[0.33214839121319845],[0.6450194699158397]
SEASHORE DURGS,"[['37019020304', '37019020313', '37019020314', '37019020315', '37019020316', '37019020315']]",[0.14459154766722554],[0.9487194311152223],[0.09082499855466265],[0.6823962914537026]
ANDERSON DRUG STORE,"[['37017950101', '37017950401']]",[0.2020083682008368],[0.8661087866108786],[0.2705151871119315],[0.687402799377916]
PHYSICIANS PHARMACY ALLIANCE,"[['37183053405', '37183053419', '37183053405']]",[0.07018076864651375],[0.9390855233176363],[0.04428745062291097],[0.8514319111630625]
MARS HILL MEDICAL CENTER,[['37115010602']],[0.14726389182336785],[0.903443904500317],[0.08975248669905159],[0.7611077297626293]
INGLES MARKETS - 177,"[['37089931401', '37089931402', '37089931500', '37089931402']]",[0.14624659665499806],[0.7789964994165695],[0.11709034024247164],[0.7945062132112491]
BYNUM'S DRUG STORE,"[['37049960102', '37049960800', '37049960900', '37049960900']]",[0.16278429933969185],[0.8660124724871606],[0.2788888888888889],[0.6807740717432348]
CVS - 3527,"[['37151030100', '37151030202', '37151030700', '37151030201']]",[0.19234916851126624],[0.8561212327600886],[0.18012422360248448],[0.72918909221385]
CRAMERTON DRUG COMPANY,"[['37071032202', '37071032403', '37071032508', '37071032510', '37071032202']]",[0.13131224882054868],[0.9281845186091211],[0.07324116205810291],[0.8291285967543979]
CVS - 7573,"[['37007920301', '37179020100', '37179020800', '37179020800']]",[0.13613192074116762],[0.8885145618156833],[0.09572816395333363],[0.7754345138535379]
HARRIS TEETER - 287,"[['37147001003', '37147000301']]",[0.1142572034426843],[0.9308968442060621],[0.039839135352519796],[0.800078170803205]
CVS - 7884,"[['37021002204', '37021002303', '37021002304', '37021002204']]",[0.12328609286784192],[0.9388178361562391],[0.05772997887459189],[0.791451520367183]
CVS - 3828,[['37171930901']],[0.18497876857749468],[0.8083864118895966],[0.15498938428874734],[0.8629749393694423]
TYRO FAMILY PHARMACY,"[['37057061701', '37057061703', '37057061704', '37057061705', '37059080400', '37057061703']]",[0.1593116437091473],[0.9026921230473799],[0.1345308053368814],[0.7340123849759824]
NORTHSIDE FAMILY PHARMACY,"[['37065020600', '37127010603', '37127010700', '37127010801', '37127010603']]",[0.14006745961299485],[0.8430676371382922],[0.19453094589334372],[0.8021601016518425]
BEAUFORT DRUG COMPANY,[['37031970305']],[0.1270358306188925],[0.9060803474484256],[0.09270334928229665],[0.6581265012009607]
INGLES MARKET - 33,"[['37121950300', '37121950300']]",[0.17084942084942084],[0.8737934362934363],[0.18253968253968253],[0.7207672445592033]
RITE AID - 11533,"[['37031970103', '37031970200', '37031970301', '37031970304', '37031970304']]",[0.19340019906592146],[0.8693821300053595],[0.16307908282639214],[0.7495240685341311]
NATURE'S PHARMACY AND COMPOUNDING CENTER,"[['37021000800', '37021000800']]",[0.0935483870967742],[0.9674486803519061],[0.08229136376853737],[0.8033707865168539]
RITE AID - 11561,[['37087920900']],[0.1960210649502633],[0.7729666471620831],[0.19976567076742824],[0.7222222222222222]
MEDSOURCE PHARMACY,"[['37107010700', '37107010700']]",[0.3470294280955025],[0.9006107717934481],[0.33092726263187117],[0.7283321194464676]
WALGREENS - 7398,"[['37181961000', '37181960500']]",[0.18152093661006222],[0.869317582533488],[0.21389358108108109],[0.747147965264771]
CVS - 7213,"[['37119005849', '37119005849']]",[0.07883165829145729],[1.0],[0.017587939698492462],[0.8325837081459271]
RITE AID - 11478,"[['37119001911', '37119001920', '37119001910']]",[0.09624948803463812],[0.7177461822011585],[0.1623936672967864],[0.7687840290381125]
BOONE DRUG,[['37189920601']],[0.1330686917500863],[0.9099068001380739],[0.6230936819172114],[0.7896329928111994]
PERSON STREET PHARMACY,"[['37183050400', '37183050500', '37183050600', '37183050400']]",[0.07643652561247216],[0.9273942093541203],[0.1031292234119971],[0.7614956437560504]
CHINA GROVE DRUG COMPANY,"[['37159051201', '37159051700', '37159051700']]",[0.15988092512021984],[0.8820700709869476],[0.1828257384932448],[0.6893824783386054]
CVS - 7317,"[['37193960300', '37193960401', '37193960402', '37193960500', '37193960500']]",[0.22639495883728022],[0.8635532066266897],[0.18865415110747352],[0.7015548281505728]
WAL-MART SUPERCENTER - 1317,[['37021001900']],[0.13318112633181126],[0.9327752409944191],[0.12997416020671834],[0.8634192932187201]
KEEVER PHARMACY,"[['37109070300', '37109070100']]",[0.16076447442383363],[0.8772344013490725],[0.17942664418212478],[0.7679057116953762]
CVS - 2754,"[['37183053617', '37183053618', '37183053617']]",[0.041875077508164195],[0.9587036501178124],[0.09844730756524611],[0.8332047821056691]
INGLES MARKETS - 24,"[['37021002306', '37021002306']]",[0.12191397302112497],[0.9373886485110715],[0.07836107554417414],[0.916904422253923]
CVS - 2561,"[['37119003019', '37119003020']]",[0.10369659145463274],[0.991678668586974],[0.01984317490798528],[0.7909035409035409]
LONGLEAF NEURO MEDICAL TREATMENT CENTER,"[['37195000701', '37195000702', '37195001200', '37195000801']]",[0.20433135864814994],[0.8268427697387588],[0.30096144508109157],[0.6253616200578592]
